number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_nhid2,params_nhid3,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,state,avg_fit_criteria,ed_cl1_mean,ed_cl2_mean,ed_cl3_mean
0,0.24238709112008414,2025-09-03 02:13:00.846956,2025-09-03 02:18:58.491969,0 days 00:05:57.645013,100,normal,6,zero,,5.356407332044644e-05,6592,1008,608,576,old,0.3186854244306292,logistic,0.013110266791449653,0.013112703959147135,0.013105352719624838,0.013112743695576986,COMPLETE,0.013110266791449653,0.013112703959147135,0.013105352719624838,0.013112743695576986
1,0.5282257397969564,2025-09-03 02:18:58.492828,2025-09-03 02:47:23.968845,0 days 00:28:25.476017,20,uniform,6,zero,,0.0001567986483730631,4737,944,240,592,old,1.0593220787328592,tanh,0.013015177514817981,0.012987454732259115,0.01296532154083252,0.013092756271362305,COMPLETE,0.013015177514817981,0.012987454732259115,0.01296532154083252,0.013092756271362305
2,0.527032196521759,2025-09-03 02:47:23.969278,2025-09-03 02:53:04.947830,0 days 00:05:40.978552,100,uniform,7,zero,,0.0013722625337799393,674,544,784,496,Glorot,,tanh,0.013062755266825357,0.01296687126159668,0.013134042421976725,0.01308735211690267,COMPLETE,0.013062755266825357,0.01296687126159668,0.013134042421976725,0.01308735211690267
3,0.6714031100273132,2025-09-03 02:53:04.948264,2025-09-03 03:21:12.211633,0 days 00:28:07.263369,20,uniform,6,zero,,0.0005997611974489836,3042,400,656,336,old,0.7557205831361038,tanh,0.012872470749749077,0.013008395830790201,0.01288167635599772,0.01272734006245931,COMPLETE,0.012872470749749077,0.013008395830790201,0.01288167635599772,0.01272734006245931
4,0.1137580672899882,2025-09-03 03:21:12.212058,2025-09-03 03:26:53.522661,0 days 00:05:41.310603,100,uniform,8,zero,,1.7536174426962524e-06,5638,832,848,592,Glorot,,logistic,0.013100902239481607,0.013114690780639648,0.013058225313822428,0.013129790623982748,COMPLETE,0.013100902239481607,0.013114690780639648,0.013058225313822428,0.013129790623982748
5,0.11366128921508789,2025-09-03 03:26:53.523092,2025-09-03 03:32:34.620878,0 days 00:05:41.097786,100,uniform,6,zero,,2.152766956463615e-06,1208,864,512,672,Glorot,,logistic,0.013094358974032931,0.013072053591410318,0.013119935989379883,0.013091087341308594,COMPLETE,0.013094358974032931,0.013072053591410318,0.013119935989379883,0.013091087341308594
6,0.9299677411715189,2025-09-03 03:32:34.621577,2025-09-03 03:38:38.526296,0 days 00:06:03.904719,100,normal,6,nz,1.0224729613848469e-07,0.18205624505890625,6579,640,272,832,old,0.50438191405769,tanh,0.0026269621319240997,0.0019164482752482097,0.0008533398310343424,0.005111098289489746,COMPLETE,0.0026269621319240997,0.0019164482752482097,0.0008533398310343424,0.005111098289489746
7,0.8773709138234457,2025-09-03 03:38:38.526731,2025-09-03 03:44:42.830032,0 days 00:06:04.303301,100,uniform,6,nz,0.009022903550383762,0.015141727048604519,713,160,384,864,old,1.1444957061835375,tanh,0.009668429692586264,0.008930484453837076,0.009310483932495117,0.010764320691426596,COMPLETE,0.009668429692586264,0.008930484453837076,0.009310483932495117,0.010764320691426596
8,0.11366128921508789,2025-09-03 03:44:42.830818,2025-09-03 03:50:26.483598,0 days 00:05:43.652780,100,normal,8,zero,,1.5227745153472545e-06,2210,544,816,912,old,1.8392842177188289,logistic,0.013126492500305176,0.013153076171875,0.013120690981547037,0.01310571034749349,COMPLETE,0.013126492500305176,0.013153076171875,0.013120690981547037,0.01310571034749349
9,0.3027902841567993,2025-09-03 03:50:26.484026,2025-09-03 03:56:06.620081,0 days 00:05:40.136055,100,uniform,8,zero,,2.4890096121810022e-05,796,272,288,448,Glorot,,tanh,0.012990236282348633,0.012999296188354492,0.012900153795878092,0.013071258862813314,COMPLETE,0.012990236282348633,0.012999296188354492,0.012900153795878092,0.013071258862813314
10,0.17499900360902151,2025-09-03 03:56:06.620519,2025-09-03 04:24:36.174926,0 days 00:28:29.554407,20,uniform,7,zero,,0.5398843157707236,705,800,976,672,Glorot,,logistic,0.005251195695665147,0.008055369059244791,0.006894508997599284,0.0008037090301513672,COMPLETE,0.005251195695665147,0.008055369059244791,0.006894508997599284,0.0008037090301513672
