number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_nhid2,params_nhid3,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,state,avg_fit_criteria,ed_cl1_mean,ed_cl2_mean,ed_cl3_mean
0,0.112693552672863,2025-08-24 10:50:01.479736,2025-08-24 10:55:43.262394,0 days 00:05:41.782658,100,,normal,8,nz,2.8332666515127185e-08,0.001043515710351857,106,832,992,912,,raw,Glorot,,logistic,0.013022700945536295,0.013055992126464844,0.012874031066894531,0.013138079643249511,COMPLETE,0.013022700945536295,0.013055992126464844,0.012874031066894531,0.013138079643249511
1,0.112693552672863,2025-08-24 10:55:43.264098,2025-08-24 11:01:04.763390,0 days 00:05:21.499292,100,,uniform,6,zero,,2.284837598099766e-06,233,896,448,832,,raw,old,1.8367687261504506,logistic,0.013075621922810872,0.012977027893066406,0.013243484497070312,0.013006353378295898,COMPLETE,0.013075621922810872,0.012977027893066406,0.013243484497070312,0.013006353378295898
2,0.112693552672863,2025-08-24 11:01:04.765115,2025-08-24 11:06:30.926200,0 days 00:05:26.161085,100,1.0979545731115338e-09,uniform,6,zero,,0.00019674545664986347,128,640,944,816,,colnorm,old,0.5522153215986169,tanh,0.013184801737467446,0.01311795711517334,0.01324012279510498,0.013196325302124024,COMPLETE,0.013184801737467446,0.01311795711517334,0.01324012279510498,0.013196325302124024
3,0.6913226127624512,2025-08-24 11:06:30.928576,2025-08-24 11:33:35.095142,0 days 00:27:04.166566,20,1.6410052678123524e-06,normal,5,zero,,0.09683714003316882,1848,16,320,448,,colnorm,Glorot,,logistic,0.004989075660705567,0.0005052328109741211,0.00608670711517334,0.008375287055969238,COMPLETE,0.004989075660705567,0.0005052328109741211,0.00608670711517334,0.008375287055969238
4,0.112693552672863,2025-08-24 11:33:35.095518,2025-08-24 11:38:56.400337,0 days 00:05:21.304819,100,,uniform,5,zero,,9.000040972326552e-05,243,800,736,816,,raw,old,1.91145773015142,logistic,0.013234734535217285,0.01307218074798584,0.013296389579772949,0.013335633277893066,COMPLETE,0.013234734535217285,0.01307218074798584,0.013296389579772949,0.013335633277893066
5,0.1170161321759224,2025-08-24 11:38:56.400638,2025-08-24 11:44:39.287915,0 days 00:05:42.887277,100,3.934854551086919e-06,normal,7,nz,2.5689072709426117e-05,5.276847581147895e-05,221,304,160,352,,colnorm,Glorot,,tanh,0.013113625844319661,0.012916922569274902,0.01329045295715332,0.013133502006530762,COMPLETE,0.013113625844319661,0.012916922569274902,0.01329045295715332,0.013133502006530762
6,0.5442742109298706,2025-08-24 11:44:39.289395,2025-08-24 11:50:09.789171,0 days 00:05:30.499776,100,,normal,7,zero,,0.008948220794904321,1367,576,288,1008,0.5712176866709087,pca,old,1.8459256038847829,tanh,0.01247259775797526,0.012227082252502441,0.012436914443969726,0.012753796577453614,COMPLETE,0.01247259775797526,0.012227082252502441,0.012436914443969726,0.012753796577453614
7,0.8002258181571961,2025-08-24 11:50:09.789467,2025-08-24 12:18:19.549324,0 days 00:28:09.759857,20,1.5719798915188787e-07,uniform,5,nz,7.135089719871652e-06,0.11046538250437803,2652,336,896,224,,colnorm,old,1.0886287623448017,tanh,0.004227733612060546,0.002589893341064453,0.008011198043823243,0.0020821094512939453,COMPLETE,0.004227733612060546,0.002589893341064453,0.008011198043823243,0.0020821094512939453
8,0.112693552672863,2025-08-24 12:18:19.549702,2025-08-24 12:24:03.815133,0 days 00:05:44.265431,100,,uniform,6,nz,1.1366707462439177e-05,1.7638895995727322e-06,755,624,112,832,,raw,old,1.4900201948996412,logistic,0.012937641143798828,0.013075304031372071,0.012648749351501464,0.013088870048522949,COMPLETE,0.012937641143798828,0.013075304031372071,0.012648749351501464,0.013088870048522949
9,0.112693552672863,2025-08-24 12:24:03.815421,2025-08-24 12:29:31.994066,0 days 00:05:28.178645,100,,uniform,5,zero,,2.738175791324914e-06,2000,16,960,896,0.6867118536767687,pca,Glorot,,logistic,0.013144151369730633,0.013043951988220216,0.013222312927246094,0.013166189193725586,COMPLETE,0.013144151369730633,0.013043951988220216,0.013222312927246094,0.013166189193725586
