number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_nhid2,params_nhid3,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,state,avg_fit_criteria,ed_cl1_mean,ed_cl2_mean,ed_cl3_mean
0,0.112693552672863,2025-08-24 10:50:01.586303,2025-08-24 11:18:28.092838,0 days 00:28:26.506535,20,,uniform,6,nz,2.408891693835518e-07,1.9068306386240476e-05,800,80,288,512,,raw,Glorot,,logistic,0.013023296991984049,0.012913894653320313,0.013140201568603516,0.01301579475402832,COMPLETE,0.013023296991984049,0.012913894653320313,0.013140201568603516,0.01301579475402832
1,0.112693552672863,2025-08-24 11:18:28.094961,2025-08-24 11:24:11.996981,0 days 00:05:43.902020,100,,uniform,6,nz,0.0002069877935427099,4.532045798669679e-05,803,224,512,384,,raw,Glorot,,tanh,0.012992159525553387,0.01298518180847168,0.01315913200378418,0.012832164764404297,COMPLETE,0.012992159525553387,0.01298518180847168,0.01315913200378418,0.012832164764404297
2,0.25570968687534334,2025-08-24 11:24:11.997348,2025-08-24 11:51:26.586647,0 days 00:27:14.589299,20,,normal,6,zero,,0.003593917669469153,294,432,16,96,0.7614531005141727,pca,old,0.755934832754835,tanh,0.012376213073730468,0.012969422340393066,0.011143016815185546,0.013016200065612793,COMPLETE,0.012376213073730468,0.012969422340393066,0.011143016815185546,0.013016200065612793
3,0.112693552672863,2025-08-24 11:51:26.587023,2025-08-24 11:56:55.068936,0 days 00:05:28.481913,100,,normal,5,zero,,0.04669620740529656,5948,352,336,320,,raw,old,1.0291345330938984,logistic,0.013040804862976074,0.012888455390930175,0.013279056549072266,0.012954902648925782,COMPLETE,0.013040804862976074,0.012888455390930175,0.013279056549072266,0.012954902648925782
4,0.112693552672863,2025-08-24 11:56:55.069253,2025-08-24 12:02:40.394753,0 days 00:05:45.325500,100,,normal,5,nz,5.8733668003591766e-08,0.0006009208989093564,129,80,368,848,,raw,old,0.9564623006105633,logistic,0.013152464230855304,0.01296088695526123,0.013309240341186523,0.013187265396118164,COMPLETE,0.013152464230855304,0.01296088695526123,0.013309240341186523,0.013187265396118164
5,0.7797419667243958,2025-08-24 12:02:40.395064,2025-08-24 12:08:11.759581,0 days 00:05:31.364517,100,,normal,6,zero,,0.020672492838662945,4902,48,560,832,0.92848781305588,pca,old,0.9947535368647515,tanh,0.00874637762705485,0.0033570051193237303,0.010812020301818848,0.012070107460021972,COMPLETE,0.00874637762705485,0.0033570051193237303,0.010812020301818848,0.012070107460021972
6,0.31306452453136446,2025-08-24 12:08:11.759878,2025-08-24 12:13:42.319860,0 days 00:05:30.559982,100,,normal,8,zero,,0.902290355038375,303,160,32,544,0.531811142849276,pca,Glorot,,tanh,,,,,COMPLETE,,,,
7,0.112693552672863,2025-08-24 12:13:42.320165,2025-08-24 12:19:31.940725,0 days 00:05:49.620560,100,,uniform,8,nz,1.7286821158315726e-07,7.984786193040815e-05,2976,944,32,704,0.5603162141530791,pca,Glorot,,logistic,0.013053814570109049,0.013007330894470214,0.013015556335449218,0.013138556480407714,COMPLETE,0.013053814570109049,0.013007330894470214,0.013015556335449218,0.013138556480407714
8,0.112693552672863,2025-08-24 12:19:31.942165,2025-08-24 12:46:33.336753,0 days 00:27:01.394588,20,1.0252773110077433e-06,normal,5,zero,,0.010819702277292158,2651,960,400,672,,colnorm,old,0.7176438958158204,logistic,0.013125602404276529,0.013077855110168457,0.013045835494995116,0.013253116607666015,COMPLETE,0.013125602404276529,0.013077855110168457,0.013045835494995116,0.013253116607666015
9,0.8209839224815368,2025-08-24 12:46:33.337127,2025-08-24 12:52:16.807579,0 days 00:05:43.470452,100,,uniform,8,nz,3.0495251798820325e-05,0.07968268616303291,1813,208,320,256,,raw,old,1.432827266708205,tanh,0.006486638387044271,0.0034880638122558594,0.007721424102783203,0.00825042724609375,COMPLETE,0.006486638387044271,0.0034880638122558594,0.007721424102783203,0.00825042724609375
