number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_nhid2,params_nhid3,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,state,avg_fit_criteria,ed_cl1_mean,ed_cl2_mean,ed_cl3_mean
0,0.1134677454829216,2025-08-24 10:50:01.661523,2025-08-24 10:55:50.147571,0 days 00:05:48.486048,100,,normal,8,nz,2.8332666515127185e-08,0.001043515710351857,106,832,992,912,,raw,Glorot,,logistic,0.013022748629252116,0.013056015968322754,0.01287405490875244,0.013138175010681152,COMPLETE,0.013022748629252116,0.013056015968322754,0.01287405490875244,0.013138175010681152
1,0.1134677454829216,2025-08-24 10:55:50.149583,2025-08-24 11:01:16.341833,0 days 00:05:26.192250,100,,uniform,6,zero,,2.284837598099766e-06,233,896,448,832,,raw,old,1.8367687261504506,logistic,0.013075621922810872,0.012977027893066406,0.013243484497070312,0.013006353378295898,COMPLETE,0.013075621922810872,0.012977027893066406,0.013243484497070312,0.013006353378295898
2,0.1134677454829216,2025-08-24 11:01:16.343900,2025-08-24 11:06:46.036070,0 days 00:05:29.692170,100,1.0979545731115338e-09,uniform,6,zero,,0.00019674545664986347,128,640,944,816,,colnorm,old,0.5522153215986169,tanh,0.013184769948323566,0.01311790943145752,0.01324009895324707,0.013196301460266114,COMPLETE,0.013184769948323566,0.01311790943145752,0.01324009895324707,0.013196301460266114
3,0.7357419490814209,2025-08-24 11:06:46.037902,2025-08-24 11:34:05.248743,0 days 00:27:19.210841,20,1.6410052678123524e-06,normal,5,zero,,0.09683714003316882,1848,16,320,448,,colnorm,Glorot,,logistic,0.004837926228841146,0.0008253097534179687,0.005846166610717773,0.007842302322387695,COMPLETE,0.004837926228841146,0.0008253097534179687,0.005846166610717773,0.007842302322387695
4,0.1134677454829216,2025-08-24 11:34:05.249153,2025-08-24 11:39:30.037032,0 days 00:05:24.787879,100,,uniform,5,zero,,9.000040972326552e-05,243,800,736,816,,raw,old,1.91145773015142,logistic,0.013234710693359375,0.01307218074798584,0.01329631805419922,0.013335633277893066,COMPLETE,0.013234710693359375,0.01307218074798584,0.01329631805419922,0.013335633277893066
5,0.11367742270231247,2025-08-24 11:39:30.037372,2025-08-24 11:45:16.899799,0 days 00:05:46.862427,100,3.934854551086919e-06,normal,7,nz,2.5689072709426117e-05,5.276847581147895e-05,221,304,160,352,,colnorm,Glorot,,tanh,0.013113625844319661,0.012916898727416993,0.01329045295715332,0.013133525848388672,COMPLETE,0.013113625844319661,0.012916898727416993,0.01329045295715332,0.013133525848388672
6,0.8128871440887451,2025-08-24 11:45:16.901233,2025-08-24 11:50:48.589696,0 days 00:05:31.688463,100,,normal,7,zero,,0.008948220794904321,1367,576,288,1008,0.5712176866709087,pca,old,1.8459256038847829,tanh,0.012144056955973308,0.01168231964111328,0.012103080749511719,0.012646770477294922,COMPLETE,0.012144056955973308,0.01168231964111328,0.012103080749511719,0.012646770477294922
7,0.870693588256836,2025-08-24 11:50:48.589985,2025-08-24 12:19:10.078678,0 days 00:28:21.488693,20,1.5719798915188787e-07,uniform,5,nz,7.135089719871652e-06,0.11046538250437803,2652,336,896,224,,colnorm,old,1.0886287623448017,tanh,0.005765899022420248,0.004228425025939941,0.009383392333984376,0.003685879707336426,COMPLETE,0.005765899022420248,0.004228425025939941,0.009383392333984376,0.003685879707336426
8,0.1134677454829216,2025-08-24 12:19:10.079068,2025-08-24 12:24:55.971911,0 days 00:05:45.892843,100,,uniform,6,nz,1.1366707462439177e-05,1.7638895995727322e-06,755,624,112,832,,raw,old,1.4900201948996412,logistic,0.012937641143798828,0.013075304031372071,0.012648749351501464,0.013088870048522949,COMPLETE,0.012937641143798828,0.013075304031372071,0.012648749351501464,0.013088870048522949
9,0.1134677454829216,2025-08-24 12:24:55.972266,2025-08-24 12:30:28.650840,0 days 00:05:32.678574,100,,uniform,5,zero,,2.738175791324914e-06,2000,16,960,896,0.6867118536767687,pca,Glorot,,logistic,0.012209335962931315,0.010202527046203613,0.013073015213012695,0.013352465629577637,COMPLETE,0.012209335962931315,0.010202527046203613,0.013073015213012695,0.013352465629577637
