number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_nhid2,params_nhid3,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,state,avg_fit_criteria,ed_cl1_mean,ed_cl2_mean,ed_cl3_mean
0,0.1134677454829216,2025-08-24 10:50:01.625811,2025-08-24 11:18:28.301558,0 days 00:28:26.675747,20,,uniform,6,nz,2.408891693835518e-07,1.9068306386240476e-05,800,80,288,512,,raw,Glorot,,logistic,0.013023320833841959,0.012913894653320313,0.013140201568603516,0.01301586627960205,COMPLETE,0.013023320833841959,0.012913894653320313,0.013140201568603516,0.01301586627960205
1,0.1134677454829216,2025-08-24 11:18:28.303447,2025-08-24 11:24:12.836120,0 days 00:05:44.532673,100,,uniform,6,nz,0.0002069877935427099,4.532045798669679e-05,803,224,512,384,,raw,Glorot,,tanh,0.012992175420125325,0.01298511028289795,0.01315925121307373,0.012832164764404297,COMPLETE,0.012992175420125325,0.01298511028289795,0.01315925121307373,0.012832164764404297
2,0.14329032897949218,2025-08-24 11:24:12.836480,2025-08-24 11:51:26.973723,0 days 00:27:14.137243,20,,normal,6,zero,,0.003593917669469153,294,432,16,96,0.7614531005141727,pca,old,0.755934832754835,tanh,0.012503115336100261,0.013176536560058594,0.01101689338684082,0.013315916061401367,COMPLETE,0.012503115336100261,0.013176536560058594,0.01101689338684082,0.013315916061401367
3,0.1134677454829216,2025-08-24 11:51:26.974098,2025-08-24 11:56:56.427228,0 days 00:05:29.453130,100,,normal,5,zero,,0.04669620740529656,5948,352,336,320,,raw,old,1.0291345330938984,logistic,0.013042736053466798,0.012888813018798828,0.01327371597290039,0.012965679168701172,COMPLETE,0.013042736053466798,0.012888813018798828,0.01327371597290039,0.012965679168701172
4,0.1134677454829216,2025-08-24 11:56:56.427547,2025-08-24 12:02:43.041093,0 days 00:05:46.613546,100,,normal,5,nz,5.8733668003591766e-08,0.0006009208989093564,129,80,368,848,,raw,old,0.9564623006105633,logistic,0.013152464230855304,0.012960863113403321,0.013309192657470704,0.013187336921691894,COMPLETE,0.013152464230855304,0.012960863113403321,0.013309192657470704,0.013187336921691894
5,0.7899032473564148,2025-08-24 12:02:43.041407,2025-08-24 12:08:16.020855,0 days 00:05:32.979448,100,,normal,6,zero,,0.020672492838662945,4902,48,560,832,0.92848781305588,pca,old,0.9947535368647515,tanh,0.008573277791341146,0.004750657081604004,0.009931516647338868,0.011037659645080567,COMPLETE,0.008573277791341146,0.004750657081604004,0.009931516647338868,0.011037659645080567
6,0.5498709827661514,2025-08-24 12:08:16.021149,2025-08-24 12:13:47.351017,0 days 00:05:31.329868,100,,normal,8,zero,,0.902290355038375,303,160,32,544,0.531811142849276,pca,Glorot,,tanh,,,,,COMPLETE,,,,
7,0.1134677454829216,2025-08-24 12:13:47.351324,2025-08-24 12:19:34.735083,0 days 00:05:47.383759,100,,uniform,8,nz,1.7286821158315726e-07,7.984786193040815e-05,2976,944,32,704,0.5603162141530791,pca,Glorot,,logistic,0.013161484400431316,0.013233375549316407,0.012963271141052246,0.013287806510925293,COMPLETE,0.013161484400431316,0.013233375549316407,0.012963271141052246,0.013287806510925293
8,0.1134677454829216,2025-08-24 12:19:34.736677,2025-08-24 12:46:45.610330,0 days 00:27:10.873653,20,1.0252773110077433e-06,normal,5,zero,,0.010819702277292158,2651,960,400,672,,colnorm,old,0.7176438958158204,logistic,0.013125205039978027,0.013078594207763672,0.013044309616088868,0.013252711296081543,COMPLETE,0.013125205039978027,0.013078594207763672,0.013044309616088868,0.013252711296081543
9,0.8778871536254883,2025-08-24 12:46:45.610694,2025-08-24 12:52:32.120217,0 days 00:05:46.509523,100,,uniform,8,nz,3.0495251798820325e-05,0.07968268616303291,1813,208,320,256,,raw,old,1.432827266708205,tanh,0.005783589680989583,0.0034726858139038086,0.007043623924255371,0.00683445930480957,COMPLETE,0.005783589680989583,0.0034726858139038086,0.007043623924255371,0.00683445930480957
10,0.11729032695293426,2025-08-24 12:52:32.120580,2025-08-24 13:19:56.434730,0 days 00:27:24.314150,20,,normal,7,zero,,9.278261226540327e-05,117,112,672,320,0.9177342805737674,pca,Glorot,,tanh,0.013138198852539062,0.01330862045288086,0.01312880516052246,0.012977170944213866,COMPLETE,0.013138198852539062,0.01330862045288086,0.01312880516052246,0.012977170944213866
11,0.1134677454829216,2025-08-24 13:19:56.437300,2025-08-24 13:25:42.120574,0 days 00:05:45.683274,100,,normal,6,nz,1.5178620982137476e-05,6.138743611911215e-05,6294,912,336,912,,raw,old,0.4880602306015901,tanh,0.013171545664469401,0.013025522232055664,0.013105106353759766,0.013384008407592773,COMPLETE,0.013171545664469401,0.013025522232055664,0.013105106353759766,0.013384008407592773
12,0.1134677454829216,2025-08-24 13:25:42.120878,2025-08-24 13:53:05.206489,0 days 00:27:23.085611,20,,normal,6,zero,,0.037881959609401966,7519,160,176,64,,raw,Glorot,,logistic,0.012423117955525717,0.01300952434539795,0.012865447998046875,0.011394381523132324,COMPLETE,0.012423117955525717,0.01300952434539795,0.012865447998046875,0.011394381523132324
13,0.1134677454829216,2025-08-24 13:53:05.206844,2025-08-24 13:58:56.304708,0 days 00:05:51.097864,100,,normal,7,nz,0.004083646289694694,0.00017587308626797383,3552,896,736,112,0.934529193152835,pca,Glorot,,logistic,0.013116939862569172,0.013219141960144043,0.013017535209655762,0.013114142417907714,COMPLETE,0.013116939862569172,0.013219141960144043,0.013017535209655762,0.013114142417907714
14,0.8869677901268005,2025-08-24 13:58:56.305002,2025-08-24 14:26:22.383338,0 days 00:27:26.078336,20,,normal,6,zero,,0.3044525615065604,204,704,176,352,0.5043995553501397,pca,Glorot,,tanh,0.006760621070861817,0.007578992843627929,0.004676628112792969,0.00802624225616455,COMPLETE,0.006760621070861817,0.007578992843627929,0.004676628112792969,0.00802624225616455
15,0.1134677454829216,2025-08-24 14:26:22.383736,2025-08-24 14:55:13.206906,0 days 00:28:50.823170,20,,uniform,6,nz,4.5217557451024084e-07,0.00024928315599298995,515,512,176,752,,raw,old,1.1709311779111824,tanh,0.013175471623738605,0.013152241706848145,0.013226985931396484,0.013147187232971192,COMPLETE,0.013175471623738605,0.013152241706848145,0.013226985931396484,0.013147187232971192
16,0.1134677454829216,2025-08-24 14:55:13.208382,2025-08-24 15:00:40.196043,0 days 00:05:26.987661,100,,uniform,6,zero,,0.00034912391835984966,2655,1008,352,736,,raw,Glorot,,tanh,0.013091556231180829,0.013102269172668457,0.013075637817382812,0.013096761703491212,COMPLETE,0.013091556231180829,0.013102269172668457,0.013075637817382812,0.013096761703491212
17,0.1134677454829216,2025-08-24 15:00:40.196726,2025-08-24 15:29:17.395664,0 days 00:28:37.198938,20,,normal,6,nz,0.003098891758417325,0.0008440164593981861,1301,912,880,240,0.5561063925658498,pca,old,0.5462544338135313,logistic,0.01315163771311442,0.013026595115661621,0.013191938400268555,0.013236379623413086,COMPLETE,0.01315163771311442,0.013026595115661621,0.013191938400268555,0.013236379623413086
