number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_nhid2,params_nhid3,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,state,avg_fit_criteria,ed_cl1_mean,ed_cl2_mean,ed_cl3_mean
0,0.11251613348722458,2025-08-24 10:50:01.631994,2025-08-24 10:55:50.229353,0 days 00:05:48.597359,100,,normal,8,nz,2.8332666515127185e-08,0.001043515710351857,106,832,992,912,,raw,Glorot,,logistic,0.013022756576538085,0.013056063652038574,0.01287405490875244,0.013138151168823243,COMPLETE,0.013022756576538085,0.013056063652038574,0.01287405490875244,0.013138151168823243
1,0.11251613348722458,2025-08-24 10:55:50.231191,2025-08-24 11:01:16.814428,0 days 00:05:26.583237,100,,uniform,6,zero,,2.284837598099766e-06,233,896,448,832,,raw,old,1.8367687261504506,logistic,0.013075621922810872,0.012977027893066406,0.013243484497070312,0.013006353378295898,COMPLETE,0.013075621922810872,0.012977027893066406,0.013243484497070312,0.013006353378295898
2,0.12937097400426864,2025-08-24 11:01:16.816158,2025-08-24 11:06:46.252582,0 days 00:05:29.436424,100,1.0979545731115338e-09,uniform,6,zero,,0.00019674545664986347,128,640,944,816,,colnorm,old,0.5522153215986169,tanh,0.013081868489583334,0.013070154190063476,0.013028120994567871,0.013147330284118653,COMPLETE,0.013081868489583334,0.013070154190063476,0.013028120994567871,0.013147330284118653
3,0.9024355173110962,2025-08-24 11:06:46.254435,2025-08-24 11:33:48.608315,0 days 00:27:02.353880,20,1.6410052678123524e-06,normal,5,zero,,0.09683714003316882,1848,16,320,448,,colnorm,Glorot,,logistic,0.00405729611714681,-0.00035092830657958987,0.0047686100006103516,0.007754206657409668,COMPLETE,0.00405729611714681,-0.00035092830657958987,0.0047686100006103516,0.007754206657409668
4,0.11251613348722458,2025-08-24 11:33:48.608717,2025-08-24 11:39:08.775012,0 days 00:05:20.166295,100,,uniform,5,zero,,9.000040972326552e-05,243,800,736,816,,raw,old,1.91145773015142,logistic,0.013234742482503255,0.01307218074798584,0.01329634189605713,0.013335704803466797,COMPLETE,0.013234742482503255,0.01307218074798584,0.01329634189605713,0.013335704803466797
5,0.25530645847320554,2025-08-24 11:39:08.775356,2025-08-24 11:44:50.986080,0 days 00:05:42.210724,100,3.934854551086919e-06,normal,7,nz,2.5689072709426117e-05,5.276847581147895e-05,221,304,160,352,,colnorm,Glorot,,tanh,0.013013037045796712,0.012719249725341797,0.013156414031982422,0.013163447380065918,COMPLETE,0.013013037045796712,0.012719249725341797,0.013156414031982422,0.013163447380065918
6,0.9360484480857849,2025-08-24 11:44:50.987504,2025-08-24 11:50:19.142873,0 days 00:05:28.155369,100,,normal,7,zero,,0.008948220794904321,1367,576,288,1008,0.5712176866709087,pca,old,1.8459256038847829,tanh,0.011920897165934245,0.011513090133666993,0.011821460723876954,0.01242814064025879,COMPLETE,0.011920897165934245,0.011513090133666993,0.011821460723876954,0.01242814064025879
7,0.9688226103782653,2025-08-24 11:50:19.143237,2025-08-24 12:18:27.332203,0 days 00:28:08.188966,20,1.5719798915188787e-07,uniform,5,nz,7.135089719871652e-06,0.11046538250437803,2652,336,896,224,,colnorm,old,1.0886287623448017,tanh,0.00735012690226237,0.0045708417892456055,0.010667920112609863,0.006811618804931641,COMPLETE,0.00735012690226237,0.0045708417892456055,0.010667920112609863,0.006811618804931641
8,0.11251613348722458,2025-08-24 12:18:27.332609,2025-08-24 12:24:11.047459,0 days 00:05:43.714850,100,,uniform,6,nz,1.1366707462439177e-05,1.7638895995727322e-06,755,624,112,832,,raw,old,1.4900201948996412,logistic,0.012937641143798828,0.013075304031372071,0.012648749351501464,0.013088870048522949,COMPLETE,0.012937641143798828,0.013075304031372071,0.012648749351501464,0.013088870048522949
9,0.11251613348722458,2025-08-24 12:24:11.047837,2025-08-24 12:29:39.526831,0 days 00:05:28.478994,100,,uniform,5,zero,,2.738175791324914e-06,2000,16,960,896,0.6867118536767687,pca,Glorot,,logistic,0.012503202756245932,0.01108253002166748,0.013126277923583984,0.013300800323486328,COMPLETE,0.012503202756245932,0.01108253002166748,0.013126277923583984,0.013300800323486328
10,0.7347580909729003,2025-08-24 12:29:39.527140,2025-08-24 12:35:05.974449,0 days 00:05:26.447309,100,,uniform,7,zero,,0.002472295306383974,2075,112,320,64,0.7991185925525833,pca,old,0.2686955279215667,tanh,0.011489351590474447,0.012084507942199707,0.012486124038696289,0.009897422790527344,COMPLETE,0.011489351590474447,0.012084507942199707,0.012486124038696289,0.009897422790527344
11,0.4527580812573433,2025-08-24 12:35:05.974750,2025-08-24 12:40:41.855106,0 days 00:05:35.880356,100,,uniform,8,nz,2.4683800823808475e-05,0.5116031278834187,2319,496,880,688,,raw,Glorot,,logistic,0.006163700421651205,0.008024764060974122,0.0038213253021240233,0.006645011901855469,COMPLETE,0.006163700421651205,0.008024764060974122,0.0038213253021240233,0.006645011901855469
12,0.09835484176874161,2025-08-24 12:40:41.855454,2025-08-24 13:07:24.775407,0 days 00:26:42.919953,20,3.467309368910586e-08,normal,8,zero,,0.8326898905156366,728,720,928,1008,,colnorm,old,0.7145798120320814,tanh,,,,,COMPLETE,,,,
13,0.11251613348722458,2025-08-24 13:07:24.775794,2025-08-24 13:12:45.374210,0 days 00:05:20.598416,100,,normal,6,zero,,0.0016713216495823414,6001,176,304,560,,raw,Glorot,,logistic,0.013013243675231934,0.013131308555603027,0.012807512283325195,0.013100910186767577,COMPLETE,0.013013243675231934,0.013131308555603027,0.012807512283325195,0.013100910186767577
14,0.11251613348722458,2025-08-24 13:12:45.374524,2025-08-24 13:40:43.422260,0 days 00:27:58.047736,20,,uniform,7,nz,0.006961990992360462,0.001311633998556584,259,1024,416,912,,raw,Glorot,,logistic,0.013085913658142089,0.012959933280944825,0.01331160068511963,0.012986207008361816,COMPLETE,0.013085913658142089,0.012959933280944825,0.01331160068511963,0.012986207008361816
15,0.4002742052078247,2025-08-24 13:40:43.424799,2025-08-24 13:46:02.133242,0 days 00:05:18.708443,100,1.2825638415243462e-08,uniform,8,zero,,0.08126110512979882,1033,640,432,384,,colnorm,old,0.7711479402733286,logistic,0.011957685152689615,0.012343478202819825,0.011969852447509765,0.011559724807739258,COMPLETE,0.011957685152689615,0.012343478202819825,0.011969852447509765,0.011559724807739258
