number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_nhid2,params_nhid3,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,state,avg_fit_criteria,ed_cl1_mean,ed_cl2_mean,ed_cl3_mean
0,0.11251613348722458,2025-08-24 10:50:02.864614,2025-08-24 11:23:02.305612,0 days 00:32:59.440998,20,,uniform,6,nz,2.408891693835518e-07,1.9068306386240476e-05,800,80,288,512,,raw,Glorot,,logistic,0.01302330493927002,0.012913894653320313,0.013140177726745606,0.013015842437744141,COMPLETE,0.01302330493927002,0.012913894653320313,0.013140177726745606,0.013015842437744141
1,0.12019355297088623,2025-08-24 11:23:02.309412,2025-08-24 11:29:49.705284,0 days 00:06:47.395872,100,,uniform,6,nz,0.0002069877935427099,4.532045798669679e-05,803,224,512,384,,raw,Glorot,,tanh,0.012992151578267414,0.012985157966613769,0.01315920352935791,0.012832093238830566,COMPLETE,0.012992151578267414,0.012985157966613769,0.01315920352935791,0.012832093238830566
2,0.4727580785751343,2025-08-24 11:29:49.705690,2025-08-24 12:01:24.930029,0 days 00:31:35.224339,20,,normal,6,zero,,0.003593917669469153,294,432,16,96,0.7614531005141727,pca,old,0.755934832754835,tanh,0.012273534138997394,0.012614679336547852,0.012115788459777833,0.012090134620666503,COMPLETE,0.012273534138997394,0.012614679336547852,0.012115788459777833,0.012090134620666503
3,0.8463387489318848,2025-08-24 12:01:24.930429,2025-08-24 12:07:49.097019,0 days 00:06:24.166590,100,,normal,5,zero,,0.04669620740529656,5948,352,336,320,,raw,old,1.0291345330938984,logistic,0.007686487833658853,0.0077179670333862305,0.008324933052062989,0.007016563415527343,COMPLETE,0.007686487833658853,0.0077179670333862305,0.008324933052062989,0.007016563415527343
4,0.11251613348722458,2025-08-24 12:07:49.097337,2025-08-24 12:14:32.318651,0 days 00:06:43.221314,100,,normal,5,nz,5.8733668003591766e-08,0.0006009208989093564,129,80,368,848,,raw,old,0.9564623006105633,logistic,0.013152480125427246,0.012960982322692872,0.013309216499328614,0.013187241554260255,COMPLETE,0.013152480125427246,0.012960982322692872,0.013309216499328614,0.013187241554260255
5,0.9408548951148987,2025-08-24 12:14:32.319046,2025-08-24 12:20:59.956538,0 days 00:06:27.637492,100,,normal,6,zero,,0.020672492838662945,4902,48,560,832,0.92848781305588,pca,old,0.9947535368647515,tanh,0.00904220740000407,0.004789900779724121,0.01070089340209961,0.011635828018188476,COMPLETE,0.00904220740000407,0.004789900779724121,0.01070089340209961,0.011635828018188476
6,0.4430161461234093,2025-08-24 12:20:59.956841,2025-08-24 12:27:23.167950,0 days 00:06:23.211109,100,,normal,8,zero,,0.902290355038375,303,160,32,544,0.531811142849276,pca,Glorot,,tanh,,,,,COMPLETE,,,,
7,0.11251613348722458,2025-08-24 12:27:23.168279,2025-08-24 12:34:06.040726,0 days 00:06:42.872447,100,,uniform,8,nz,1.7286821158315726e-07,7.984786193040815e-05,2976,944,32,704,0.5603162141530791,pca,Glorot,,logistic,0.012476746241251627,0.013277268409729004,0.011025094985961914,0.013127875328063966,COMPLETE,0.012476746241251627,0.013277268409729004,0.011025094985961914,0.013127875328063966
8,0.11251613348722458,2025-08-24 12:34:06.042468,2025-08-24 13:05:43.090494,0 days 00:31:37.048026,20,1.0252773110077433e-06,normal,5,zero,,0.010819702277292158,2651,960,400,672,,colnorm,old,0.7176438958158204,logistic,0.013233947753906248,0.013266777992248536,0.013364791870117188,0.013070273399353027,COMPLETE,0.013233947753906248,0.013266777992248536,0.013364791870117188,0.013070273399353027
9,0.9692419648170472,2025-08-24 13:05:43.091259,2025-08-24 13:12:26.876810,0 days 00:06:43.785551,100,,uniform,8,nz,3.0495251798820325e-05,0.07968268616303291,1813,208,320,256,,raw,old,1.432827266708205,tanh,0.007420245806376138,0.0052631616592407225,0.008664751052856445,0.00833282470703125,COMPLETE,0.007420245806376138,0.0052631616592407225,0.008664751052856445,0.00833282470703125
10,0.35259678959846497,2025-08-24 13:12:26.877220,2025-08-24 13:44:44.200118,0 days 00:32:17.322898,20,,normal,7,zero,,9.278261226540327e-05,117,112,672,320,0.9177342805737674,pca,Glorot,,tanh,0.013136720657348633,0.013150954246520996,0.013073277473449708,0.013185930252075196,COMPLETE,0.013136720657348633,0.013150954246520996,0.013073277473449708,0.013185930252075196
11,0.11251613348722458,2025-08-24 13:44:44.202884,2025-08-24 13:51:31.933685,0 days 00:06:47.730801,100,,normal,6,nz,1.5178620982137476e-05,6.138743611911215e-05,6294,912,336,912,,raw,old,0.4880602306015901,tanh,0.013171148300170897,0.013025784492492675,0.013104057312011719,0.013383603096008301,COMPLETE,0.013171148300170897,0.013025784492492675,0.013104057312011719,0.013383603096008301
12,0.8381774425506592,2025-08-24 13:51:31.934014,2025-08-24 14:23:27.539149,0 days 00:31:55.605135,20,,normal,6,zero,,0.037881959609401966,7519,160,176,64,,raw,Glorot,,logistic,0.0030435244242350257,0.00463719367980957,0.004463577270507812,2.9802322387695312e-05,COMPLETE,0.0030435244242350257,0.00463719367980957,0.004463577270507812,2.9802322387695312e-05
13,0.11251613348722458,2025-08-24 14:23:27.539565,2025-08-24 14:30:13.678044,0 days 00:06:46.138479,100,,normal,7,nz,0.004083646289694694,0.00017587308626797383,3552,896,736,112,0.934529193152835,pca,Glorot,,logistic,0.013194187482198078,0.013224649429321288,0.01316533088684082,0.013192582130432128,COMPLETE,0.013194187482198078,0.013224649429321288,0.01316533088684082,0.013192582130432128
14,0.9696774482727051,2025-08-24 14:30:13.678403,2025-08-24 15:02:02.294133,0 days 00:31:48.615730,20,,normal,6,zero,,0.3044525615065604,204,704,176,352,0.5043995553501397,pca,Glorot,,tanh,0.007924556732177734,0.008503961563110351,0.006157803535461426,0.009111905097961425,COMPLETE,0.007924556732177734,0.008503961563110351,0.006157803535461426,0.009111905097961425
15,0.11251613348722458,2025-08-24 15:02:02.296058,2025-08-24 15:35:43.096118,0 days 00:33:40.800060,20,,uniform,6,nz,4.5217557451024084e-07,0.00024928315599298995,515,512,176,752,,raw,old,1.1709311779111824,tanh,0.013176234563191733,0.013152861595153808,0.013228535652160645,0.013147306442260743,COMPLETE,0.013176234563191733,0.013152861595153808,0.013228535652160645,0.013147306442260743
16,0.253161296248436,2025-08-24 15:35:43.096522,2025-08-24 15:42:04.042566,0 days 00:06:20.946044,100,,uniform,6,zero,,0.00034912391835984966,2655,1008,352,736,,raw,Glorot,,tanh,0.013091039657592776,0.013099312782287598,0.013072395324707031,0.013101410865783692,COMPLETE,0.013091039657592776,0.013099312782287598,0.013072395324707031,0.013101410865783692
17,0.11251613348722458,2025-08-24 15:42:04.043290,2025-08-24 16:15:30.050925,0 days 00:33:26.007635,20,,normal,6,nz,0.003098891758417325,0.0008440164593981861,1301,912,880,240,0.5561063925658498,pca,old,0.5462544338135313,logistic,0.013192200660705566,0.013296771049499511,0.013269543647766113,0.013010287284851074,COMPLETE,0.013192200660705566,0.013296771049499511,0.013269543647766113,0.013010287284851074
18,0.11251613348722458,2025-08-24 16:15:30.052084,2025-08-24 16:48:52.996745,0 days 00:33:22.944661,20,,uniform,7,nz,0.0012361063948476514,0.00017047912451343645,270,480,992,624,,raw,Glorot,,logistic,0.013161683082580566,0.013174748420715332,0.013205385208129883,0.013104915618896484,COMPLETE,0.013161683082580566,0.013174748420715332,0.013205385208129883,0.013104915618896484
19,0.11251613348722458,2025-08-24 16:48:52.999135,2025-08-24 17:21:48.693695,0 days 00:32:55.694560,20,,normal,8,zero,,0.8186484618563397,3702,224,896,720,,raw,Glorot,,logistic,0.002047459284464518,0.005492806434631348,0.00019261837005615234,0.00045695304870605467,COMPLETE,0.002047459284464518,0.005492806434631348,0.00019261837005615234,0.00045695304870605467
