number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_nhid2,params_nhid3,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,state,avg_fit_criteria,ed_cl1_mean,ed_cl2_mean,ed_cl3_mean
0,0.11366129368543625,2025-08-24 10:50:01.912631,2025-08-24 10:55:46.312608,0 days 00:05:44.399977,100,,normal,8,nz,2.8332666515127185e-08,0.001043515710351857,106,832,992,912,,raw,Glorot,,logistic,0.013022685050964355,0.013056039810180664,0.012874031066894531,0.01313798427581787,COMPLETE,0.013022685050964355,0.013056039810180664,0.012874031066894531,0.01313798427581787
1,0.11366129368543625,2025-08-24 10:55:46.314490,2025-08-24 11:01:10.851279,0 days 00:05:24.536789,100,,uniform,6,zero,,2.284837598099766e-06,233,896,448,832,,raw,old,1.8367687261504506,logistic,0.013075621922810872,0.012977027893066406,0.013243484497070312,0.013006353378295898,COMPLETE,0.013075621922810872,0.012977027893066406,0.013243484497070312,0.013006353378295898
2,0.11382258385419845,2025-08-24 11:01:10.853098,2025-08-24 11:06:40.637470,0 days 00:05:29.784372,100,1.0979545731115338e-09,uniform,6,zero,,0.00019674545664986347,128,640,944,816,,colnorm,old,0.5522153215986169,tanh,0.01318480173746745,0.01311790943145752,0.01324014663696289,0.013196349143981934,COMPLETE,0.01318480173746745,0.01311790943145752,0.01324014663696289,0.013196349143981934
3,0.5464032530784607,2025-08-24 11:06:40.639393,2025-08-24 11:36:14.589707,0 days 00:29:33.950314,20,1.6410052678123524e-06,normal,5,zero,,0.09683714003316882,1848,16,320,448,,colnorm,Glorot,,logistic,0.004899446169535319,-0.0013966321945190429,0.006670808792114258,0.009424161911010743,COMPLETE,0.004899446169535319,-0.0013966321945190429,0.006670808792114258,0.009424161911010743
4,0.11366129368543625,2025-08-24 11:36:14.590100,2025-08-24 11:42:41.614834,0 days 00:06:27.024734,100,,uniform,5,zero,,9.000040972326552e-05,243,800,736,816,,raw,old,1.91145773015142,logistic,0.013234742482503253,0.01307218074798584,0.013296389579772949,0.013335657119750977,COMPLETE,0.013234742482503253,0.01307218074798584,0.013296389579772949,0.013335657119750977
5,0.1413709729909897,2025-08-24 11:42:41.615131,2025-08-24 11:49:18.806882,0 days 00:06:37.191751,100,3.934854551086919e-06,normal,7,nz,2.5689072709426117e-05,5.276847581147895e-05,221,304,160,352,,colnorm,Glorot,,tanh,0.013113649686177573,0.012916898727416993,0.01329045295715332,0.013133597373962403,COMPLETE,0.013113649686177573,0.012916898727416993,0.01329045295715332,0.013133597373962403
6,0.7116451978683471,2025-08-24 11:49:18.808299,2025-08-24 11:55:07.950509,0 days 00:05:49.142210,100,,normal,7,zero,,0.008948220794904321,1367,576,288,1008,0.5712176866709087,pca,old,1.8459256038847829,tanh,0.01190650463104248,0.01134805679321289,0.012027692794799805,0.012343764305114746,COMPLETE,0.01190650463104248,0.01134805679321289,0.012027692794799805,0.012343764305114746
7,0.8725484251976013,2025-08-24 11:55:07.950821,2025-08-24 12:23:29.688752,0 days 00:28:21.737931,20,1.5719798915188787e-07,uniform,5,nz,7.135089719871652e-06,0.11046538250437803,2652,336,896,224,,colnorm,old,1.0886287623448017,tanh,0.005553221702575683,0.001237177848815918,0.010234332084655762,0.005188155174255371,COMPLETE,0.005553221702575683,0.001237177848815918,0.010234332084655762,0.005188155174255371
8,0.11366129368543625,2025-08-24 12:23:29.689162,2025-08-24 12:29:11.988644,0 days 00:05:42.299482,100,,uniform,6,nz,1.1366707462439177e-05,1.7638895995727322e-06,755,624,112,832,,raw,old,1.4900201948996412,logistic,0.012937641143798828,0.013075304031372071,0.012648749351501464,0.013088870048522949,COMPLETE,0.012937641143798828,0.013075304031372071,0.012648749351501464,0.013088870048522949
9,0.11366129368543625,2025-08-24 12:29:11.988995,2025-08-24 12:34:39.523680,0 days 00:05:27.534685,100,,uniform,5,zero,,2.738175791324914e-06,2000,16,960,896,0.6867118536767687,pca,Glorot,,logistic,0.013118569056193033,0.013185548782348632,0.012998294830322266,0.013171863555908204,COMPLETE,0.013118569056193033,0.013185548782348632,0.012998294830322266,0.013171863555908204
