number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_nhid2,params_nhid3,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,state,avg_fit_criteria,ed_cl1_mean,ed_cl2_mean,ed_cl3_mean
0,0.11366129368543625,2025-08-24 10:50:03.482887,2025-08-24 11:23:45.108190,0 days 00:33:41.625303,20,,uniform,6,nz,2.408891693835518e-07,1.9068306386240476e-05,800,80,288,512,,raw,Glorot,,logistic,0.013023360570271808,0.012913894653320313,0.013140201568603516,0.013015985488891602,COMPLETE,0.013023360570271808,0.012913894653320313,0.013140201568603516,0.013015985488891602
1,0.11441935896873474,2025-08-24 11:23:45.110025,2025-08-24 11:30:29.662163,0 days 00:06:44.552138,100,,uniform,6,nz,0.0002069877935427099,4.532045798669679e-05,803,224,512,384,,raw,Glorot,,tanh,0.012992183367411295,0.012985157966613769,0.013159227371215821,0.012832164764404297,COMPLETE,0.012992183367411295,0.012985157966613769,0.013159227371215821,0.012832164764404297
2,0.25166130661964414,2025-08-24 11:30:29.662527,2025-08-24 12:02:32.403076,0 days 00:32:02.740549,20,,normal,6,zero,,0.003593917669469153,294,432,16,96,0.7614531005141727,pca,old,0.755934832754835,tanh,0.010868398348490398,0.013361287117004395,0.006308197975158691,0.012935709953308106,COMPLETE,0.010868398348490398,0.013361287117004395,0.006308197975158691,0.012935709953308106
3,0.33569355607032775,2025-08-24 12:02:32.403498,2025-08-24 12:08:59.522740,0 days 00:06:27.119242,100,,normal,5,zero,,0.04669620740529656,5948,352,336,320,,raw,old,1.0291345330938984,logistic,0.011115590731302897,0.011206722259521485,0.011496329307556152,0.010643720626831055,COMPLETE,0.011115590731302897,0.011206722259521485,0.011496329307556152,0.010643720626831055
4,0.11366129368543625,2025-08-24 12:08:59.523112,2025-08-24 12:15:47.140473,0 days 00:06:47.617361,100,,normal,5,nz,5.8733668003591766e-08,0.0006009208989093564,129,80,368,848,,raw,old,0.9564623006105633,logistic,0.013152448336283365,0.01296095848083496,0.013309168815612792,0.013187217712402343,COMPLETE,0.013152448336283365,0.01296095848083496,0.013309168815612792,0.013187217712402343
5,0.8044677615165711,2025-08-24 12:15:47.140813,2025-08-24 12:22:16.931034,0 days 00:06:29.790221,100,,normal,6,zero,,0.020672492838662945,4902,48,560,832,0.92848781305588,pca,old,0.9947535368647515,tanh,0.007862019538879396,0.0021248102188110352,0.009858322143554688,0.01160292625427246,COMPLETE,0.007862019538879396,0.0021248102188110352,0.009858322143554688,0.01160292625427246
6,0.3865967974066734,2025-08-24 12:22:16.931416,2025-08-24 12:28:49.226087,0 days 00:06:32.294671,100,,normal,8,zero,,0.902290355038375,303,160,32,544,0.531811142849276,pca,Glorot,,tanh,,,,,COMPLETE,,,,
7,0.11366129368543625,2025-08-24 12:28:49.226437,2025-08-24 12:35:40.468973,0 days 00:06:51.242536,100,,uniform,8,nz,1.7286821158315726e-07,7.984786193040815e-05,2976,944,32,704,0.5603162141530791,pca,Glorot,,logistic,0.01292868455251058,0.013129973411560058,0.012533307075500488,0.013122773170471192,COMPLETE,0.01292868455251058,0.013129973411560058,0.012533307075500488,0.013122773170471192
8,0.11366129368543625,2025-08-24 12:35:40.470592,2025-08-24 13:07:35.319422,0 days 00:31:54.848830,20,1.0252773110077433e-06,normal,5,zero,,0.010819702277292158,2651,960,400,672,,colnorm,old,0.7176438958158204,logistic,0.01312534809112549,0.013074946403503419,0.013044905662536622,0.013256192207336426,COMPLETE,0.01312534809112549,0.013074946403503419,0.013044905662536622,0.013256192207336426
9,0.8834839224815368,2025-08-24 13:07:35.320360,2025-08-24 13:14:23.928264,0 days 00:06:48.607904,100,,uniform,8,nz,3.0495251798820325e-05,0.07968268616303291,1813,208,320,256,,raw,old,1.432827266708205,tanh,0.004947169621785481,0.002477693557739258,0.006610512733459473,0.0057533025741577145,COMPLETE,0.004947169621785481,0.002477693557739258,0.006610512733459473,0.0057533025741577145
10,0.16612903773784637,2025-08-24 13:14:23.930794,2025-08-24 13:47:14.605949,0 days 00:32:50.675155,20,,normal,7,zero,,9.278261226540327e-05,117,112,672,320,0.9177342805737674,pca,Glorot,,tanh,0.013293846448262531,0.013184857368469239,0.013278508186340332,0.013418173789978028,COMPLETE,0.013293846448262531,0.013184857368469239,0.013278508186340332,0.013418173789978028
11,0.11366129368543625,2025-08-24 13:47:14.608744,2025-08-24 13:54:00.702191,0 days 00:06:46.093447,100,,normal,6,nz,1.5178620982137476e-05,6.138743611911215e-05,6294,912,336,912,,raw,old,0.4880602306015901,tanh,0.013171545664469401,0.013025498390197754,0.013105297088623047,0.013383841514587403,COMPLETE,0.013171545664469401,0.013025498390197754,0.013105297088623047,0.013383841514587403
12,0.2943387195467949,2025-08-24 13:54:00.702515,2025-08-24 14:26:06.770116,0 days 00:32:06.067601,20,,normal,6,zero,,0.037881959609401966,7519,160,176,64,,raw,Glorot,,logistic,0.00885466734568278,0.010579657554626466,0.010114240646362304,0.00587010383605957,COMPLETE,0.00885466734568278,0.010579657554626466,0.010114240646362304,0.00587010383605957
13,0.11366129368543625,2025-08-24 14:26:06.770538,2025-08-24 14:32:58.047525,0 days 00:06:51.276987,100,,normal,7,nz,0.004083646289694694,0.00017587308626797383,3552,896,736,112,0.934529193152835,pca,Glorot,,logistic,0.013211941719055176,0.01308126449584961,0.013197565078735351,0.013356995582580567,COMPLETE,0.013211941719055176,0.01308126449584961,0.013197565078735351,0.013356995582580567
14,0.8696290612220764,2025-08-24 14:32:58.047936,2025-08-24 15:05:18.348920,0 days 00:32:20.300984,20,,normal,6,zero,,0.3044525615065604,204,704,176,352,0.5043995553501397,pca,Glorot,,tanh,0.006651345888773599,0.0062347412109375,0.0055666685104370115,0.008152627944946289,COMPLETE,0.006651345888773599,0.0062347412109375,0.0055666685104370115,0.008152627944946289
15,0.11366129368543625,2025-08-24 15:05:18.350984,2025-08-24 15:40:11.423581,0 days 00:34:53.072597,20,,uniform,6,nz,4.5217557451024084e-07,0.00024928315599298995,515,512,176,752,,raw,old,1.1709311779111824,tanh,0.013175725936889648,0.013152503967285156,0.013227391242980956,0.013147282600402831,COMPLETE,0.013175725936889648,0.013152503967285156,0.013227391242980956,0.013147282600402831
16,0.12446774542331696,2025-08-24 15:40:11.423992,2025-08-24 15:46:35.926183,0 days 00:06:24.502191,100,,uniform,6,zero,,0.00034912391835984966,2655,1008,352,736,,raw,Glorot,,tanh,0.013089569409688313,0.013101816177368164,0.013069748878479004,0.013097143173217774,COMPLETE,0.013089569409688313,0.013101816177368164,0.013069748878479004,0.013097143173217774
17,0.11366129368543625,2025-08-24 15:46:35.927018,2025-08-24 16:20:24.141599,0 days 00:33:48.214581,20,,normal,6,nz,0.003098891758417325,0.0008440164593981861,1301,912,880,240,0.5561063925658498,pca,old,0.5462544338135313,logistic,0.01305383046468099,0.013275218009948731,0.013015007972717286,0.012871265411376953,COMPLETE,0.01305383046468099,0.013275218009948731,0.013015007972717286,0.012871265411376953
18,0.11366129368543625,2025-08-24 16:20:24.142919,2025-08-24 16:54:39.949611,0 days 00:34:15.806692,20,,uniform,7,nz,0.0012361063948476514,0.00017047912451343645,270,480,992,624,,raw,Glorot,,logistic,0.013161651293436688,0.013174629211425782,0.013205456733703613,0.013104867935180665,COMPLETE,0.013161651293436688,0.013174629211425782,0.013205456733703613,0.013104867935180665
19,0.11366129368543625,2025-08-24 16:54:39.951868,2025-08-24 17:26:44.140103,0 days 00:32:04.188235,20,,normal,8,zero,,0.8186484618563397,3702,224,896,720,,raw,Glorot,,logistic,0.0016680479049682618,0.003976798057556153,0.00017211437225341796,0.0008552312850952148,COMPLETE,0.0016680479049682618,0.003976798057556153,0.00017211437225341796,0.0008552312850952148
