number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_nhid2,params_nhid3,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,state,avg_fit_criteria,ed_cl1_mean,ed_cl2_mean,ed_cl3_mean
0,0.10000000149011612,2025-08-24 10:50:03.945166,2025-08-24 11:17:38.688182,0 days 00:27:34.743016,20,,uniform,6,nz,2.408891693835518e-07,1.9068306386240476e-05,800,80,288,512,,raw,Glorot,,logistic,0.012935797373453775,0.012770390510559082,0.013157129287719727,0.01287987232208252,COMPLETE,0.012935797373453775,0.012770390510559082,0.013157129287719727,0.01287987232208252
1,0.19231666326522828,2025-08-24 11:17:38.689729,2025-08-24 11:23:12.188971,0 days 00:05:33.499242,100,,uniform,6,nz,0.0002069877935427099,4.532045798669679e-05,803,224,512,384,,raw,Glorot,,tanh,0.012971464792887369,0.012865233421325683,0.012908220291137695,0.01314094066619873,COMPLETE,0.012971464792887369,0.012865233421325683,0.012908220291137695,0.01314094066619873
2,0.19246666729450226,2025-08-24 11:23:12.189313,2025-08-24 11:49:24.899356,0 days 00:26:12.710043,20,,normal,6,zero,,0.003593917669469153,294,432,16,96,0.7614531005141727,pca,old,0.755934832754835,tanh,0.012383166948954263,0.013088440895080567,0.011709308624267578,0.012351751327514648,COMPLETE,0.012383166948954263,0.013088440895080567,0.011709308624267578,0.012351751327514648
3,0.180649995803833,2025-08-24 11:49:24.899757,2025-08-24 11:54:42.637941,0 days 00:05:17.738184,100,,normal,5,zero,,0.04669620740529656,5948,352,336,320,,raw,old,1.0291345330938984,logistic,0.009974304835001627,0.007699370384216309,0.010342764854431152,0.011880779266357422,COMPLETE,0.009974304835001627,0.007699370384216309,0.010342764854431152,0.011880779266357422
4,0.10000000149011612,2025-08-24 11:54:42.638261,2025-08-24 12:00:15.625254,0 days 00:05:32.986993,100,,normal,5,nz,5.8733668003591766e-08,0.0006009208989093564,129,80,368,848,,raw,old,0.9564623006105633,logistic,0.013102507591247559,0.012831377983093261,0.013230371475219726,0.013245773315429688,COMPLETE,0.013102507591247559,0.012831377983093261,0.013230371475219726,0.013245773315429688
5,0.45643332600593567,2025-08-24 12:00:15.625604,2025-08-24 12:05:45.494784,0 days 00:05:29.869180,100,,normal,6,zero,,0.020672492838662945,4902,48,560,832,0.92848781305588,pca,old,0.9947535368647515,tanh,0.009159668286641437,0.0043318748474121095,0.01101994514465332,0.012127184867858886,COMPLETE,0.009159668286641437,0.0043318748474121095,0.01101994514465332,0.012127184867858886
6,0.311516660451889,2025-08-24 12:05:45.495128,2025-08-24 12:11:14.559403,0 days 00:05:29.064275,100,,normal,8,zero,,0.902290355038375,303,160,32,544,0.531811142849276,pca,Glorot,,tanh,0.004445497194925944,0.0015688180923461915,0.0006035089492797852,0.011164164543151856,COMPLETE,0.004445497194925944,0.0015688180923461915,0.0006035089492797852,0.011164164543151856
7,0.11556666493415832,2025-08-24 12:11:14.559790,2025-08-24 12:16:59.170779,0 days 00:05:44.610989,100,,uniform,8,nz,1.7286821158315726e-07,7.984786193040815e-05,2976,944,32,704,0.5603162141530791,pca,Glorot,,logistic,0.013071378072102865,0.013194727897644042,0.012935948371887208,0.013083457946777344,COMPLETE,0.013071378072102865,0.013194727897644042,0.012935948371887208,0.013083457946777344
8,0.1617499977350235,2025-08-24 12:16:59.172295,2025-08-24 12:43:27.637972,0 days 00:26:28.465677,20,1.0252773110077433e-06,normal,5,zero,,0.010819702277292158,2651,960,400,672,,colnorm,old,0.7176438958158204,logistic,0.013059210777282714,0.013076114654541015,0.01295034885406494,0.013151168823242188,COMPLETE,0.013059210777282714,0.013076114654541015,0.01295034885406494,0.013151168823242188
9,0.15544999837875367,2025-08-24 12:43:27.638385,2025-08-24 12:49:05.145938,0 days 00:05:37.507553,100,,uniform,8,nz,3.0495251798820325e-05,0.07968268616303291,1813,208,320,256,,raw,old,1.432827266708205,tanh,0.012108985582987467,0.011013174057006836,0.012591290473937988,0.012722492218017578,COMPLETE,0.012108985582987467,0.011013174057006836,0.012591290473937988,0.012722492218017578
10,0.23578333258628845,2025-08-24 12:49:05.146327,2025-08-24 13:15:33.199780,0 days 00:26:28.053453,20,,normal,7,zero,,9.278261226540327e-05,117,112,672,320,0.9177342805737674,pca,Glorot,,tanh,0.013012536366780599,0.013018441200256348,0.012916207313537598,0.013102960586547852,COMPLETE,0.013012536366780599,0.013018441200256348,0.012916207313537598,0.013102960586547852
11,0.22943333089351653,2025-08-24 13:15:33.201992,2025-08-24 13:21:07.909303,0 days 00:05:34.707311,100,,normal,6,nz,1.5178620982137476e-05,6.138743611911215e-05,6294,912,336,912,,raw,old,0.4880602306015901,tanh,0.013150548934936524,0.013122749328613282,0.013190913200378417,0.01313798427581787,COMPLETE,0.013150548934936524,0.013122749328613282,0.013190913200378417,0.01313798427581787
12,0.1764666646718979,2025-08-24 13:21:07.911091,2025-08-24 13:47:30.103833,0 days 00:26:22.192742,20,,normal,6,zero,,0.037881959609401966,7519,160,176,64,,raw,Glorot,,logistic,0.00840761661529541,0.0070170402526855465,0.00949687957763672,0.008708930015563965,COMPLETE,0.00840761661529541,0.0070170402526855465,0.00949687957763672,0.008708930015563965
13,0.10000000149011612,2025-08-24 13:47:30.104226,2025-08-24 13:53:18.678754,0 days 00:05:48.574528,100,,normal,7,nz,0.004083646289694694,0.00017587308626797383,3552,896,736,112,0.934529193152835,pca,Glorot,,logistic,0.013099050521850586,0.013157486915588379,0.012990188598632813,0.013149476051330567,COMPLETE,0.013099050521850586,0.013157486915588379,0.012990188598632813,0.013149476051330567
