number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_nhid2,params_nhid3,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,state,avg_fit_criteria,ed_cl1_mean,ed_cl2_mean,ed_cl3_mean
0,0.10000000149011612,2025-08-24 10:50:05.979907,2025-08-24 10:56:31.756492,0 days 00:06:25.776585,100,,normal,8,nz,2.8332666515127185e-08,0.001043515710351857,106,832,992,912,,raw,Glorot,,logistic,0.013159871101379395,0.013026762008666991,0.013112926483154297,0.013339924812316894,COMPLETE,0.013159871101379395,0.013026762008666991,0.013112926483154297,0.013339924812316894
1,0.10000000149011612,2025-08-24 10:56:31.758537,2025-08-24 11:02:34.241798,0 days 00:06:02.483261,100,,uniform,6,zero,,2.284837598099766e-06,233,896,448,832,,raw,old,1.8367687261504506,logistic,0.012816500663757323,0.012742567062377929,0.012929129600524902,0.01277780532836914,COMPLETE,0.012816500663757323,0.012742567062377929,0.012929129600524902,0.01277780532836914
2,0.24368333220481872,2025-08-24 11:02:34.244021,2025-08-24 11:08:46.684633,0 days 00:06:12.440612,100,1.0979545731115338e-09,uniform,6,zero,,0.00019674545664986347,128,640,944,816,,colnorm,old,0.5522153215986169,tanh,0.0130890687306722,0.01324927806854248,0.013124704360961914,0.012893223762512207,COMPLETE,0.0130890687306722,0.01324927806854248,0.013124704360961914,0.012893223762512207
3,0.37218332290649414,2025-08-24 11:08:46.685055,2025-08-24 11:39:14.809555,0 days 00:30:28.124500,20,1.6410052678123524e-06,normal,5,zero,,0.09683714003316882,1848,16,320,448,,colnorm,Glorot,,logistic,0.004892977078755697,-0.0020702123641967774,0.006865239143371582,0.009883904457092285,COMPLETE,0.004892977078755697,-0.0020702123641967774,0.006865239143371582,0.009883904457092285
4,0.10000000149011612,2025-08-24 11:39:14.809989,2025-08-24 11:45:11.313441,0 days 00:05:56.503452,100,,uniform,5,zero,,9.000040972326552e-05,243,800,736,816,,raw,old,1.91145773015142,logistic,0.013195379575093586,0.013123393058776855,0.013166427612304688,0.01329631805419922,COMPLETE,0.013195379575093586,0.013123393058776855,0.013166427612304688,0.01329631805419922
5,0.24291666746139526,2025-08-24 11:45:11.313817,2025-08-24 11:51:39.116884,0 days 00:06:27.803067,100,3.934854551086919e-06,normal,7,nz,2.5689072709426117e-05,5.276847581147895e-05,221,304,160,352,,colnorm,Glorot,,tanh,0.0129927396774292,0.012816572189331054,0.013321352005004884,0.01284029483795166,COMPLETE,0.0129927396774292,0.012816572189331054,0.013321352005004884,0.01284029483795166
6,0.3184833347797394,2025-08-24 11:51:39.118444,2025-08-24 11:58:44.750708,0 days 00:07:05.632264,100,,normal,7,zero,,0.008948220794904321,1367,576,288,1008,0.5712176866709087,pca,old,1.8459256038847829,tanh,0.012752532958984375,0.012575149536132812,0.01278982162475586,0.012892627716064453,COMPLETE,0.012752532958984375,0.012575149536132812,0.01278982162475586,0.012892627716064453
7,0.4368333280086517,2025-08-24 11:58:44.751121,2025-08-24 12:36:05.331659,0 days 00:37:20.580538,20,1.5719798915188787e-07,uniform,5,nz,7.135089719871652e-06,0.11046538250437803,2652,336,896,224,,colnorm,old,1.0886287623448017,tanh,0.00342252254486084,0.0008753299713134766,0.007417798042297363,0.0019744396209716796,COMPLETE,0.00342252254486084,0.0008753299713134766,0.007417798042297363,0.0019744396209716796
8,0.10000000149011612,2025-08-24 12:36:05.332079,2025-08-24 12:43:37.076309,0 days 00:07:31.744230,100,,uniform,6,nz,1.1366707462439177e-05,1.7638895995727322e-06,755,624,112,832,,raw,old,1.4900201948996412,logistic,0.013003325462341309,0.013280010223388672,0.012653779983520509,0.013076186180114746,COMPLETE,0.013003325462341309,0.013280010223388672,0.012653779983520509,0.013076186180114746
9,0.10000000149011612,2025-08-24 12:43:37.076711,2025-08-24 12:49:50.249694,0 days 00:06:13.172983,100,,uniform,5,zero,,2.738175791324914e-06,2000,16,960,896,0.6867118536767687,pca,Glorot,,logistic,0.012535810470581055,0.01129460334777832,0.013217592239379882,0.013095235824584961,COMPLETE,0.012535810470581055,0.01129460334777832,0.013217592239379882,0.013095235824584961
