number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_nhid2,params_nhid3,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,state,avg_fit_criteria,ed_cl1_mean,ed_cl2_mean,ed_cl3_mean
0,0.1522714301943779,2025-08-24 10:50:03.017803,2025-08-24 10:56:32.719973,0 days 00:06:29.702170,100,,normal,8,nz,2.8332666515127185e-08,0.001043515710351857,106,832,992,912,,raw,Glorot,,logistic,0.013022637367248534,0.013056206703186034,0.01287391185760498,0.01313779354095459,COMPLETE,0.013022637367248534,0.013056206703186034,0.01287391185760498,0.01313779354095459
1,0.10000000149011612,2025-08-24 10:56:32.721910,2025-08-24 11:02:41.999608,0 days 00:06:09.277698,100,,uniform,6,zero,,2.284837598099766e-06,233,896,448,832,,raw,old,1.8367687261504506,logistic,0.013075621922810872,0.012977027893066406,0.013243484497070312,0.013006353378295898,COMPLETE,0.013075621922810872,0.012977027893066406,0.013243484497070312,0.013006353378295898
2,0.6084999918937684,2025-08-24 11:02:42.001380,2025-08-24 11:08:55.639238,0 days 00:06:13.637858,100,1.0979545731115338e-09,uniform,6,zero,,0.00019674545664986347,128,640,944,816,,colnorm,old,0.5522153215986169,tanh,0.013184698422749839,0.013117742538452149,0.01324007511138916,0.013196277618408202,COMPLETE,0.013184698422749839,0.013117742538452149,0.01324007511138916,0.013196277618408202
3,0.8446999907493591,2025-08-24 11:08:55.640241,2025-08-24 11:39:44.893723,0 days 00:30:49.253482,20,1.6410052678123524e-06,normal,5,zero,,0.09683714003316882,1848,16,320,448,,colnorm,Glorot,,logistic,0.0032612880071004233,0.00043699741363525393,0.002479147911071777,0.006867718696594238,COMPLETE,0.0032612880071004233,0.00043699741363525393,0.002479147911071777,0.006867718696594238
4,0.10000000149011612,2025-08-24 11:39:44.894116,2025-08-24 11:45:52.882555,0 days 00:06:07.988439,100,,uniform,5,zero,,9.000040972326552e-05,243,800,736,816,,raw,old,1.91145773015142,logistic,0.013234758377075195,0.01307218074798584,0.013296294212341308,0.013335800170898438,COMPLETE,0.013234758377075195,0.01307218074798584,0.013296294212341308,0.013335800170898438
5,0.5846857190132141,2025-08-24 11:45:52.882881,2025-08-24 11:52:24.738290,0 days 00:06:31.855409,100,3.934854551086919e-06,normal,7,nz,2.5689072709426117e-05,5.276847581147895e-05,221,304,160,352,,colnorm,Glorot,,tanh,0.013113713264465332,0.012916922569274902,0.01329057216644287,0.013133645057678223,COMPLETE,0.013113713264465332,0.012916922569274902,0.01329057216644287,0.013133645057678223
6,0.788271427154541,2025-08-24 11:52:24.739800,2025-08-24 11:58:40.898806,0 days 00:06:16.159006,100,,normal,7,zero,,0.008948220794904321,1367,576,288,1008,0.5712176866709087,pca,old,1.8459256038847829,tanh,0.012299052874247233,0.012044620513916016,0.012155556678771972,0.012696981430053711,COMPLETE,0.012299052874247233,0.012044620513916016,0.012155556678771972,0.012696981430053711
7,0.8864285707473755,2025-08-24 11:58:40.899081,2025-08-24 12:30:46.650319,0 days 00:32:05.751238,20,1.5719798915188787e-07,uniform,5,nz,7.135089719871652e-06,0.11046538250437803,2652,336,896,224,,colnorm,old,1.0886287623448017,tanh,0.006768051783243815,0.0036615848541259764,0.010226202011108399,0.0064163684844970705,COMPLETE,0.006768051783243815,0.0036615848541259764,0.010226202011108399,0.0064163684844970705
8,0.13360000103712083,2025-08-24 12:30:46.650718,2025-08-24 12:37:19.185262,0 days 00:06:32.534544,100,,uniform,6,nz,1.1366707462439177e-05,1.7638895995727322e-06,755,624,112,832,,raw,old,1.4900201948996412,logistic,0.012937641143798828,0.013075304031372071,0.012648749351501464,0.013088870048522949,COMPLETE,0.012937641143798828,0.013075304031372071,0.012648749351501464,0.013088870048522949
9,0.10602857172489166,2025-08-24 12:37:19.185556,2025-08-24 12:43:46.057718,0 days 00:06:26.872162,100,,uniform,5,zero,,2.738175791324914e-06,2000,16,960,896,0.6867118536767687,pca,Glorot,,logistic,0.012396486600240071,0.011359047889709473,0.012930798530578613,0.01289961338043213,COMPLETE,0.012396486600240071,0.011359047889709473,0.012930798530578613,0.01289961338043213
