number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_nhid2,params_nhid3,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,state,avg_fit_criteria,ed_cl1_mean,ed_cl2_mean,ed_cl3_mean
0,0.10000000149011612,2025-08-24 10:50:03.024381,2025-08-24 11:21:43.387799,0 days 00:31:40.363418,20,,uniform,6,nz,2.408891693835518e-07,1.9068306386240476e-05,800,80,288,512,,raw,Glorot,,logistic,0.01302327315012614,0.012913894653320313,0.013140177726745606,0.0130157470703125,COMPLETE,0.01302327315012614,0.012913894653320313,0.013140177726745606,0.0130157470703125
1,0.5641857147216797,2025-08-24 11:21:43.389573,2025-08-24 11:28:04.882094,0 days 00:06:21.492521,100,,uniform,6,nz,0.0002069877935427099,4.532045798669679e-05,803,224,512,384,,raw,Glorot,,tanh,0.012992183367411295,0.012985777854919434,0.01315927505493164,0.012831497192382812,COMPLETE,0.012992183367411295,0.012985777854919434,0.01315927505493164,0.012831497192382812
2,0.5647857069969178,2025-08-24 11:28:04.882433,2025-08-24 11:58:07.847161,0 days 00:30:02.964728,20,,normal,6,zero,,0.003593917669469153,294,432,16,96,0.7614531005141727,pca,old,0.755934832754835,tanh,0.009377582867940267,0.012708806991577148,0.004679298400878907,0.010744643211364747,COMPLETE,0.009377582867940267,0.012708806991577148,0.004679298400878907,0.010744643211364747
3,0.8307142734527588,2025-08-24 11:58:07.847545,2025-08-24 12:04:12.676906,0 days 00:06:04.829361,100,,normal,5,zero,,0.04669620740529656,5948,352,336,320,,raw,old,1.0291345330938984,logistic,0.005163399378458659,0.0021316051483154298,0.006203007698059082,0.007155585289001465,COMPLETE,0.005163399378458659,0.0021316051483154298,0.006203007698059082,0.007155585289001465
4,0.15972856879234315,2025-08-24 12:04:12.677232,2025-08-24 12:10:37.297184,0 days 00:06:24.619952,100,,normal,5,nz,5.8733668003591766e-08,0.0006009208989093564,129,80,368,848,,raw,old,0.9564623006105633,logistic,0.013152575492858887,0.01296091079711914,0.013309192657470704,0.013187623023986817,COMPLETE,0.013152575492858887,0.01296091079711914,0.013309192657470704,0.013187623023986817
5,0.874657130241394,2025-08-24 12:10:37.297457,2025-08-24 12:16:48.025678,0 days 00:06:10.728221,100,,normal,6,zero,,0.020672492838662945,4902,48,560,832,0.92848781305588,pca,old,0.9947535368647515,tanh,0.009394152959187826,0.004845857620239258,0.011374545097351075,0.011962056159973145,COMPLETE,0.009394152959187826,0.004845857620239258,0.011374545097351075,0.011962056159973145
6,0.23774285912513732,2025-08-24 12:16:48.025937,2025-08-24 12:22:57.810106,0 days 00:06:09.784169,100,,normal,8,zero,,0.902290355038375,303,160,32,544,0.531811142849276,pca,Glorot,,tanh,,,,,COMPLETE,,,,
7,0.11578571647405625,2025-08-24 12:22:57.810401,2025-08-24 12:29:31.675983,0 days 00:06:33.865582,100,,uniform,8,nz,1.7286821158315726e-07,7.984786193040815e-05,2976,944,32,704,0.5603162141530791,pca,Glorot,,logistic,0.013071441650390625,0.013194751739501954,0.012936019897460937,0.013083553314208985,COMPLETE,0.013071441650390625,0.013194751739501954,0.012936019897460937,0.013083553314208985
8,0.6459857106208802,2025-08-24 12:29:31.677398,2025-08-24 12:59:46.371431,0 days 00:30:14.694033,20,1.0252773110077433e-06,normal,5,zero,,0.010819702277292158,2651,960,400,672,,colnorm,old,0.7176438958158204,logistic,0.01140735149383545,0.012183523178100586,0.010873103141784668,0.011165428161621093,COMPLETE,0.01140735149383545,0.012183523178100586,0.010873103141784668,0.011165428161621093
9,0.7900142788887023,2025-08-24 12:59:46.371812,2025-08-24 13:06:13.554401,0 days 00:06:27.182589,100,,uniform,8,nz,3.0495251798820325e-05,0.07968268616303291,1813,208,320,256,,raw,old,1.432827266708205,tanh,0.007046834627787272,0.0012024879455566407,0.009824299812316894,0.010113716125488281,COMPLETE,0.007046834627787272,0.0012024879455566407,0.009824299812316894,0.010113716125488281
